,index,company_name,position,location,date_posted,Number of applicants,number of views,job_type,employees,sector,descriptions,search_keyword
0,1,OSP Otto Group Solution Provider,Data Analyst,"Madrid, Community of Madrid, Spain",Posted 1 month ago,120 applicants,Number of views 502 views,Full time,201-500 employees,Information Technology & Services,We keep growing at OSP Spain We are currently looking for 2 Data Analysts to join the BI team in our company working of one of our projects in the logistic sector Your responsabilities Managing data from different source systems including creation updates and deletion Managing users and user roles Provide quality assurance of imported data Commissioning and decommissioning of data sets Creation and generation of reports develop and analysis Managing and designing the reporting environment including data sources security and metadata Supporting the business owners in identifying and revising reporting requirements Ensure data integrity and normalization for the data delivery Assessing tests and implementing new or upgraded source systems or ETL third party software Working with the in house IT teams responsible for the source systems Troubleshooting the reporting database environment and reports Evaluating changes and updates to source production systems Providing technical expertise in data storage structures data mining and data cleansing Improving the reporting system in the cloud environment Your qualifications Work experience as a data analyst or in a related field Ability to work with stakeholders to assess potential risks Ability to analyse existing tools and databases and provide software solution recommendations Ability to translate business requirements into technical solutions Experience in methodologies and processes for managing large scale databases Demonstrated experience in handling large data sets and relational databases Understanding of addressing and metadata standards Experience with Cloud BI Infrastructures BigQuery PostgreSQL DB several SQL dialects Cloud automation services Experience working in Cloud environments GCP AWS or Azure Process thinking Willingness to learn new fields adjacent to analytics e g Python scripting JSON Terraform PowerShell scripts anything to get the job done Know where to find the resources you need to find the best technical solution for a complex system High level written and verbal communication skills Experiences with agile methodologies Scrum Kanban Good English skills written and spoken What s in it for you Fast growing company Be part of a great team Competitive salary Flexible working hours Mixed work mode currently 100 remote due to the covid situation Agile working methods Training and Development Long term employment,data analyst
1,2,Accenture España,Data Protection Analyst Consultant,"Madrid, Community of Madrid, Spain",Posted 1 week ago,4 applicants,Number of views 67 views,Mid Senior level,10001+ employees,Management Consulting,Accenture is seeking Data Protection experts to be assigned to its office located in Madrid preferently Spain Applicants must have master degree in Law Computer Science Telecommunications or Electrical Engineering or a related field and full professional proficiency in English and Spanish Experience and or knowledge in other fields of Information Security Network Security Application Security or SIEM Infrastructure Security is welcome Selected candidates will take part in Data Protection and other Security projects in global leading companies operating different markets GoSecurity Candidates must have the ability to Provide expert level knowledge both Technical and Regulatory oriented of Data Protection technologies and services to clients Design and lead the implementation of complex deployments of Data Protection solutions integrations and processes in different client environments Understand and prioritize tasks for client regulatory compliance Accenture requires the following specific Skills and Experience 2 to 5 years Experienced with several of these tools Data Loss Prevention Anonymization Discovery Classification Experience on data security advisory services Accenture will consider as nice to have the following specific Skills and experience Experience working in regulatory compliance Experience in Anonymization DLP or Discovery Solutions At least one Industry certifications CISSP CISM CISA CRISC CompTia CCIE CCNP CCNA CISA is welcome Full professional proficiency in English Strong verbal written communication and interpersonal skills GoSecurity,data analyst
2,3,Wunderman Thompson España,Data Analyst Senior,"Madrid, Community of Madrid, Spain",Posted 6 days ago,37 applicants,Number of views 178 views,Full time,201-500 employees,Marketing & Advertising,Buscamos analista de datos senior para formar parte de una de las agencias de comunicación líderes en el mercado La persona seleccionada formará parte del equipo de análisis y datos trabajando de la mano con el equipo de estrategia Funciones clave Diseñar desarrollar y analizar datos para realizar informes adhoc en Excel PPT como en PowerBI Google Data Studio o Tableau automatizado en ocasiones con Python Gestionar Google Analytics Omniture y otras fuentes de información para conocer tráfico ventas conversión e intereses por contenidos según audiencias Definir y desarrollar modelos de datos informes y cuadros de mando poniendo a disposición la información a los equipos internos como a los clientes para la toma de decisiones estratégicas desde los datos Conocer los entornos de DWH de la agencia cliente facilitando la explotación de lo datos con las herramientas de visualización mencionadas Identificar y predecir patrones y tendencias a partir de los datos recogidos que permitan tomar decisiones estratégicas de negocio y comunicación Determinar y sugerir KPIs en base a objetivos de comunicación y modelos de predicción Se valorará Manejo de herramientas de visualización de datos como PowerBI Tableau Google Data Studio Conocimientos tecnológicos en Machine Learning y en lenguajes de programación tipo R o Python Conocimientos en el ecosistema de Office365 con nivel de Excel avanzando Mínimo 3 años de experiencia en Business Intelligence y Data Warehouse Idiomas inglés nivel medio alto Formación analítica Licenciatura Grado en Ingeniería Informática Matemáticas Estadísticas Física Sociología similar Competencias personales requeridas Capacidad analítica para realizar ejecuciones periódicas con detalle para detectar oportunidades de comunicación y negocio Persona orientada al trabajo en equipo y con buenas habilidades comunicativas para interrelación con cliente Por qué trabajar en Wunderman Thompson Buscamos personas a las que les apasione la comunicación impulsada por los datos y les apetezca desarrollar sus competencias y habilidades ayudando a mejorar y comprender el diálogo entre las marcas y las personas Gente a la que les apasione los retos unir los puntos e interpretar y contextualizar la información y los datos Wunderman Thompson es una agencia multidisciplinar con oficinas en Madrid y Barcelona compuesta de personas motivadas con mucho talento a la que le gusta rodearse del mejor conocimiento en un entorno de trabajo colaborativo Una agencia que trabaja para algunas de las mejores marcas nacionales e internacionales ofreciendo una visión y unas capacidades totalmente integradas,data analyst
3,4,SIX,Data Analyst,"Madrid, Community of Madrid, Spain",,37 applicants,New,Entry level,"1,001-5,000 employees",Financial Services,BME es el operador de todos los mercados de valores y sistemas financieros de nuestro país y forma parte del Grupo SIX Se busca incorporar un Data Analyst para formar parte del área de Tecnología siendo parte del departamento de Cross IT Services del área de Post Trading Spain What You Will Do Desarrollo e implantación de proyectos de Business Intelligence BI y Business Analysis BA Diseño de la estructura de los datosDesarrollo de procesos de extracción transformación y carga procesos ETL Preparación de informes y desarrollo de dashboards en PowerBIParticipar en el diseño del ecosistema de Data Analytics y participar en la consolidación de estas capacidades en BMESoporte y apoyo a usuarios What You Bring Ingeniería Informática u otra carrera técnica equiparable Se valorará positivamente tener un posgrado en Data Analytics o Big DataMás de 3 de años de experiencia demostrable en análisis de datos Así como experiencia en procesos ETL Se valorarán conocimientos de Bases de Datos como MongoDB SQL ServerDominio de lenguajes SQL y Python Se valorará positivamente conocimientos de otros lenguajes como Scala y RExperiencia en Google Cloud Platform Se valorarán conocimientos de otras plataformas Azure AWS Manejo de herramientas de BI especialmente PowerBI pero se valorará positivamente también el conocimiento de TableauConocimientos de tecnologías tipo Spark y herramientas tipo BigQueryBuen nivel de inglés tanto a nivel escrito como hablado,data analyst
4,5,Amadeus,Data Analyst,"Madrid, Community of Madrid, Spain",,17 applicants,New,Entry level,10001+ employees,Information Technology & Services,Summary of the role As a Data Analyst you ll provide support by setting performance objectives and translating them into measurable metrics You ll collect transform and aggregate data from different sources to define an appropriate data model as well as develop business intelligence visuals metrics key operational indicators dashboards etc using Qlik technology to comply with organizational requirements The goal is to then make sense of the results by identifying trends and improvement opportunities with the impacted stakeholders This role is part of the Strategic Planning and Performance team within the Digital Transformation Services department The mission is to optimize internal IT performance by providing strategic direction control mechanisms and governance principles In this role you ll Collect and document performance measurement and reporting requirements as well as assess feasibility Assess select and or develop a solution to meet collected requirements Implement document and maintain a performance measurement and reporting infrastructure i e Qlik Stream Qlik apps Report performance results facilitate assessment of root cause analysis and identify opportunities for improvement About the ideal candidate University degree in Computer Science Information Technology or related Proficient in Qlik proprietary language and set analysis including experience in Qlik Sense development dashboarding data modelling and reporting techniques Previous experience in extracting transforming and loading data from various sources Experience in strategic planning or process improvement Knowledge of IT service management principles Proficient in English both verbal and written Spanish is a plus Ability to translate business needs into analytical requirements Ability to explain complex issues clearly and influence senior stakeholders What we can offer you Add your voice to a multicultural team of 16 000 professionals Work at one of the world s top 15 software companies Challenge yourself to find solutions to complex problems Competitive compensation and benefits package Application process Create your candidate profile in our system and upload your recent resume Once you ve applied you ll receive feedback within 15 days Are you ready to leave your footprint Be the power behind better journeys,data analyst
5,6,Cabify,Data Analyst,"Madrid, Community of Madrid, Spain",Posted 3 weeks ago,15 applicants,Number of views 159 views,Entry level,"1,001-5,000 employees",Internet,Do you want to help us to change the world We aim to make cities better places to live by improving mobility for the people living in them connecting riders to drivers providing mobility alternatives such as kick scooter and mopeds and many others to come at the touch of a button Maybe one day cities will be places where nobody needs a private car But we ve still got a long way to go fancy joining us Our Data teams include an eclectic bunch of awesome and diverse people from different backgrounds who come together as collaborative and inclusive teams to push boundaries Right now we have more than 20 million users around the world We work across 11 countries and 90 cities adapting our product fast to be leaders in all of those markets and taking care about sustainability We re working on some pretty greenfield projects with a solid set of product ideas lined up We are looking for committed and proactive people who want to keep learning constantly and also help us to grow technically and humanly working in collaboration with awesome people and making an impact across our teams Having a diverse and inclusive work environment is really important for us That s why we like to count with different points of view in our team that help us to solve problems in a better way What You ll Do Leverage data to perform intensive analysis across all areas of our business to improve operational efficiency and streamline process Generate and execute on ideas for exploratory analysis to shape future projects and provide recommendations for actions Create dashboards and reports to regularly communicate results and monitor key metrics Use data visualization to distill complicated spatio temporal data into easy to digest summaries that are used to monitor health and inform product Present findings to senior management to guide business decisions Collaborate with cross functional teams across disciplines such as Growth or Product What You ll Need Mandatory Graduate degree in Business Administration Economics Engineering Mathematics Statistics or related fields Nice to have Master degree on Business Analytics Business Intelligence Data Science or related or equivalent experience Mandatory At least 2 years of experience as Data Analyst for level 2 role 3 4 years of experience for level 3 role Mandatory Proficient in writing and understanding complex SQL and working with large data sets Mandatory working knowledge of Superset Tableau Qlik PowerBI or any other data visualization tool Nice to have Product Analytics experience with Amplitude Mixpanel Mandatory Fluent in English and Spanish Skills Ability to deliver on tight timelines and move quickly while maintaining attention to detail Experience working with Scrum or other agile methodologies is a plus Understand all components of experimental design from sampling to measure the effects hands on experience with A B testing in a commercial environment a plus Excellent communication and organization skills The good stuff We re a company full of happy motivated people and we never want that to change Here are some more reasons why it rocks to be part of our family Salary ranges for this position 30 000 to 35 000 level 2 Remote days available upon agreement Regular fun team events Cabify staff discount Personal development programmes Flexible remuneration Restaurant tickets transport tickets healthcare and childcare A pet room so you don t have to leave your furry friend at home All the gear you need just bring yourself And last but not least free fruits coffee Cabify is proud of being an equal opportunity workplace We celebrate diversity and we are committed to creating an inclusive environment for all employees regardless of background gender religion orientation age or ability Join us,data analyst
6,7,Acronis,Data engineer Data Analyst in Performance engineering team,"Madrid, Community of Madrid, Spain",Posted 1 week ago,7 applicants,Number of views 191 views,Entry level,"1,001-5,000 employees",Computer Software,As Acronis is dedicated not just to Cyber Protection but to the general protection of its potential and current employees recruitment and onboarding process are being held online during the current global COVID 19 situation Acronis leads the world in cyber protection solving safety accessibility privacy authenticity and security SAPAS challenges with innovative backup security disaster recovery and enterprise file sync and share solutions that run in hybrid cloud environments on premises in the cloud or at the edge Enhanced by AI technologies and blockchain based data authentication Acronis protects all data applications and systems in any environment including physical virtual cloud and mobile With dual headquarters in Switzerland and Singapore Acronis protects the data of more than 5 million consumers and 500 000 businesses in over 150 countries and 20 languages ACEP DataWarehouse is a big project used as a source for product managers insights about products usage and another user s metrics It is also a data source for CyberCube data warehouse Data engineer in Performance engineering team will be responsible for overall data warehouse data schema design sources management and data flows control Responsibilities Internal Data Warehouse business model ownershipData schema design and ownership including comprehensive schema documentationInvestigation of current products data flows and operational databases which are subject of data semantic lineage etcMediation between Services team DWH developers and BI team to quickly resolve issues or introduce changes in data modelData governance Data qualityIntroducing an automated data quality control including anomalies detection and data lossBusiness support of data loss incidents troubleshooting or data migrationDefining requirements for systems and services analyticsData analysisManual and automated DWH data analysis and insights searchSearch for hidden dependencies correlations of clients behaviour based on their cohorts when interacting with the productParticipation in the creation of business metrics and their visualisation dashboard for decision making Skills Experience 3 years experience with Data Warehouse architecture and design data flows design ETL implementationDeep knowledge in SQL experience with complex queries implementation profiling and optimisationPython experience with NumPy Pandas Scikit learn or similar Would Be a Plus Experience with Hadoop stack Hive and Pyspark Experience with TensorFlow Keras or PytorchExperience with tools git Confluence Jira DevOps,data analyst
7,8,IQVIA,Data Analyst RWAS German Speaker,"Madrid, Community of Madrid, Spain",Posted 1 week ago,4 applicants,Number of views 49 views,Full time,10001+ employees,Hospital & Health Care,Join us on our exciting journey Position Purpose We are recruiting an awesome new team member to join us at our Madrid Center of Excellence office We are looking for German speakers diversity is our way of life You will work in the Real World Insights RWI business unit The team is over 80 consultants with various capabilities in real world evidence epidemiology market access and health economics As part of a project team you will run analyses and oversee the deliverables for client projects You will work closely with the project manager and the statistician Performing strategic analyses recurrent and ad hoc to derive trends conclusions and actionable recommendations for clients on qualitative and quantitative data including longitudinal datasetsEvaluating secondary data on markets physicians pharmacists patients and competitive productsCreating reports presentations and other client deliverables If you want to play a key role in a multicultural dynamic and committed fun team this could be the role for you Our ideal candidate Skills other requirements At least 2 years experience in data analysis Excellent knowledge in data analysis and business intelligence Detailed and solution driven quality and service oriented way of working Programming in SAS is a plus Good level of practice with Office tools Excel Access Word PowerPoint Strong communicative skills orally and in writing at German and English Ability to work on several projects in parallel Team player able to integrate in an international and multidisciplinary team Knowledge or experiences in the following areas are appreciated Native speaker of German languageSQL programmingPredictive analysisDatabase studiesExperience in data mining and the application of SQL or other common databases and software toolsExperience in the life sciences industryBig data We invite you to join IQVIA IQVIA recognized by Great Place to Work as the second best company to work for in Spain March 2018 FORTUNE Magazine s World s Most Admired Companies list for the third year in a row Recognised by the 2016 Scrip Awards as the Best Full service Provider Contract Research Organization CRO Awarded the 2016 Eagle Award from the Society for Clinical Research Sites SCRS for the fourth consecutive year A site nominated award recognising contract research organizations CRO and biopharmaceutical sponsors dedicated to building positive relationships with research sites through leadership professionalism and integrity IQVIA named in The International Association of Outsourcing Professionals IAOP 2017 Global Outsourcing 100 List which recognizes the world s best service providers across a range of industries IQVIA is an equal opportunity employer We make employment decisions based on qualifications and merit We prohibit discrimination based on any unlawful consideration such as age race national origin gender or other protected status We know that meaningful results require not only the right approach but also the right people Regardless of your role we invite you to reimagine healthcare with us You will have the opportunity to play an important part in helping our clients drive healthcare forward and whatever your career goals we are here to ensure you get there Are you interested or do you know the ideal candidate If you know the right candidate or for more information on this role please contact laura canca iqvia com Please note is necessary that your application is registered in our Talent Network to process your candidacy At IQVIA we believe in pushing the boundaries of human science and data science to make the biggest impact possible to help our customers create a healthier world The advanced analytics technology solutions and contract research services we provide to the life sciences industry are made possible by our 67 000 employees around the world who apply their insight curiosity and intellectual courage every step of the way Learn more at jobs iqvia com,data analyst
8,9,WPP,Data Analyst,"Madrid, Community of Madrid, Spain",Posted 4 weeks ago,27 applicants,Number of views 300 views,Mid Senior level,10001+ employees,Marketing & Advertising,Working at WPP means being part of a global network of more than 100 000 talented people in 112 countries Our company creates transformative ideas and outcomes for its clients through an integrated offer of communications experience commerce and technology WPP and our award winning agencies work with most of the world s biggest companies and organisations from Ford Unilever and P G to Google HSBC and the UN Our clients include 69 of the FTSE 100 348 of the Fortune Global 500 all 30 of the Dow Jones 30 and 70 of the NASDAQ 100 WPP has headquarters in New York London and Singapore and a corporate presence in major markets worldwide The company is quoted on the London Stock Exchange and the New York Stock Exchange Why we re hiring WPP is on a global transformation journey and this is an opportunity to join the Enterprise Data Group to be part of a high level data project This role will report into the Project Data Project Manager What you ll be doing Become the subject matter expert answering any data related queries for existing feedsDevelop ETL workflows to add new data feedsImplement new KPIs as defined by key stakeholdersContribute to the ongoing development of the project s reporting capabilitiesManage any end to end refresh processesWork closely with key stakeholders to identify track resolve any data concernsAnswer any ad hoc data reporting requests from key risk stakeholders What you ll need Experience of ETL tools particularly Alteryx SQL skills are a bonusStrong analytical quantitative and problem solving skills Who you are You re open We are inclusive and collaborative we encourage the free exchange of ideas we respect and celebrate diverse views We are open minded to new ideas new partnerships new ways of working You re optimistic We believe in the power of creativity technology and talent to create brighter futures or our people our clients and our communities We approach all that we do with confidence to try the new and to seek the unexpected You re extraordinary we are stronger together through collaboration we achieve the amazing We are creative leaders and pioneers of our industry we deliver extraordinary every day What we ll give you Passionate driven people We champion a culture of people that do extraordinary work Scale and opportunity We offer the opportunity to create influence and deliver projects at a scale that is unparalleled in the industry Challenging and stimulating work Unique work and the opportunity to join a group of creative problem solvers Are you up for the challenge,data analyst
9,10,NAGRA,Data Analyst,"Madrid, Community of Madrid, Spain",Posted 2 days ago,64 applicants,Number of views 369 views,Mid Senior level,"1,001-5,000 employees",Information Technology & Services,NAGRA a digital TV division of the Kudelski Group provides security and multiscreen user experience solutions for the monetization of digital media The company offers content providers and DTV operators worldwide secure open integrated platforms and applications over broadcast broadband and mobile platforms enabling compelling and personalized viewing experiences NAGRA Anti Piracy Services is an innovative and fascinating division of the Kudelski Group with the objective of becoming a leading Global Anti Piracy Service Provider further confirming our position as the 1 Content Security Provider Location Madrid Spain MissionYou will have a unique opportunity to enter the world of Anti Piracy operations centered on illegal distribution and rebroadcast of copyrighted video content from major Content Providers and Sports Leagues and working in a very dynamic Service Delivery team based in Madrid Your mission will be primarily focused on applying data analysis as well as modeling and visualization techniques on heterogenous data sets acquired through regular monitoring of pirate services and helping turn that data into actionable knowledge that will steer future anti piracy actions and development efforts ResponsibilitiesContribute to improving our monitoring processes with a focus on automationParticipate in network traffic measurement projects from deployment to data collection and analysisApply state of the art data science tools techniques to research through the accumulated monitoring data and look for trends and patterns to exploitPropose counter measures for disrupting pirate streams based on conclusions drawn from prior data analysisContribute to growing the team s knowledge in the field of data analyticsCollaborate with anti piracy experts on other teamsSummarize present and visualize data in a way that is clear concise and provides a practical insight for non statisticians needing the resultsDraft intelligence reports in English ProfileA Bachelor or Master degree in Computer Science Statistics Applied Mathematics or similarGood written and spoken EnglishHigh sense of ownership and commitmentSharp analytical and problem solving skillsTroubleshooting skillsGood communication skillsHands on and delivery orientedTeam player capable of building strong relationships with peersDetail oriented dependable and organized QualificationsFamiliar with Internet and networking protocols HTTP TCP IP Scripting skills Python Bash Ability to conduct hypothesis tests correlation tests regression analysis and modelingProficiency in statistical analysis using Python and RExperience with data analytics tools Excel RStudio and visualization tools PowerBI Tableau Experience with relational and non relational databasesExperience with GitHub Experience or knowledge in following areas are a plusKnowledge of the main streaming technologies such as HLS HDS MPEG DASHSome familiarity with Amazon s AWS platform and servicesSome familiarity with the ELK stackMachine Learning skills Reference 12054 Publication Date 24 06 2021,data analyst
